Country/area,Technology/source,Year,Value_TWh
Greece,Wind,2021,0.00896231965619622
Hungary,Biogas,2020,0.0007629353623440068
Hungary,Biogas,2021,0.0007366737941037719
Hungary,Electricity,2020,0.005795851988571494
Hungary,Electricity,2021,0.007426401906091835
Hungary,Geothermal,2020,0.0020796420309704307
Hungary,Geothermal,2021,0.002233382448962755
Hungary,GrandTotal,2020,0.05331990625429979
Hungary,GrandTotal,2021,0.0592632786340527
Hungary,Heat,2020,0.001428645550769793
Hungary,Heat,2021,0.001542604837141248
Hungary,Hydropower,2020,0.00024201842332855313
Hungary,Hydropower,2021,0.00021317178242055313
Hungary,Liquid Biofuels,2020,0.005413257907383479
Hungary,Liquid Biofuels,2021,0.00552402356850168
Hungary,Other RE,2020,0.00035833906668959997
Hungary,Other RE,2021,0.0005143600815144
Hungary,Pellets,2020,0.0005575706494184
Hungary,Pellets,2021,0.0005078784963287999
Hungary,RenWaste,2020,0.0006008718133398201
Hungary,RenWaste,2021,0.0007730307033736978
Hungary,Solar PV,2020,0.0024390299314180205
Hungary,Solar PV,2021,0.0038169815385643564
Hungary,Solar Thermal,2020,0.00029028242224079994
Hungary,Solar Thermal,2021,0.00030093074076
Hungary,Solid Biofuels,2020,0.032690707792193185
Hungary,Solid Biofuels,2021,0.03500616863202329
Hungary,Wind,2020,0.0006496806037155394
Hungary,Wind,2021,0.0006676701109886462
Iceland,Biogas,2020,3.5885605026987995e-05
Iceland,Electricity,2020,0.014893022237016423
Iceland,Electricity,2021,0.015290634941089027
Iceland,Geothermal,2020,0.025375782519993898
Iceland,Geothermal,2021,0.025367562684774407
Iceland,GrandTotal,2020,0.05964020988825772
Iceland,GrandTotal,2021,0.06086247810113544
Iceland,Heat,2020,0.007434473455857765
Iceland,Heat,2021,0.007561209695804629
Iceland,Hydropower,2020,0.011498725054553634
Iceland,Hydropower,2021,0.01207268508039644
Iceland,Liquid Biofuels,2020,0.00039176440087124534
Iceland,Liquid Biofuels,2021,0.0005603227999337613
Iceland,Solar PV,2020,4.736013048447618e-06
Iceland,Solar PV,2021,4.739342595546893e-06
Iceland,Wind,2020,5.820602861552932e-06
Iceland,Wind,2021,5.323561243859023e-06
Ireland,Biogas,2020,0.0004542547906591876
Ireland,Biogas,2021,0.00047083717235528374
Ireland,Electricity,2020,0.009941264373506458
Ireland,Electricity,2021,0.009134441614627625
Ireland,GrandTotal,2020,0.03122476875441763
Ireland,GrandTotal,2021,0.02945708167371589
Ireland,Hydropower,2020,0.0007908174958293323
Ireland,Hydropower,2021,0.0006519858000118178
Ireland,Liquid Biofuels,2020,0.0033963719900728926
Ireland,Liquid Biofuels,2021,0.003411553461553768
Ireland,Other RE,2020,0.001147256781814164
Ireland,Other RE,2021,0.0011788808989050767
Ireland,RenWaste,2020,0.0013548722830976315
Ireland,RenWaste,2021,0.001426949307921128
Ireland,Solar PV,2020,5.239132522645324e-05
Ireland,Solar PV,2021,8.089982904222589e-05
Ireland,Solar Thermal,2020,0.00027268538143226636
Ireland,Solar Thermal,2021,0.0002716436980988664
Ireland,Solid Biofuels,2020,0.00402186185121959
Ireland,Solid Biofuels,2021,0.004324086390317461
Ireland,Wind,2020,0.009792992482295777
Ireland,Wind,2021,0.008505803500173522
Italy,Biogas,2020,0.015655330317773115
Italy,Biogas,2021,0.016717975518580577
Italy,Charcoal,2020,0.0012338209754666175
Italy,Charcoal,2021,0.0010563760067515576
Italy,Electricity,2020,0.09931755729109171
Italy,Electricity,2021,0.10279506988402058
Italy,Geothermal,2020,0.02310703755371991
Italy,Geothermal,2021,0.022778663725627327
Italy,GrandTotal,2020,0.4548769981373029
Italy,GrandTotal,2021,0.47169824856108317
Italy,Heat,2020,0.006781085350577544
Italy,Heat,2021,0.004892489860132981
Italy,Hydropower,2020,0.04279448669431139
Italy,Hydropower,2021,0.04159948229669269
Italy,Liquid Biofuels,2020,0.030794118995670534
